T,20120803153000551,616.550000,100,Y,0,14,0,0
T,20120803153000551,616.550000,100,Y,0,14,0,0
T,20120803153000551,616.550000,100,Y,0,14,0,0
T,20120803153000551,616.540000,100,Y,0,14,0,0
T,20120803153000601,616.540000,100,B,0,0,0,0
T,20120803153000704,616.585000,101,P,0,0,0,0
T,20120803153001039,616.550000,100,D,0,0,0,0
Q,20120803153000133,616.540000,616.630000,2,1,B,Q,0
Q,20120803153000552,616.540000,616.630000,1,1,J,Q,0
Q,20120803153000557,616.540000,616.630000,1,2,J,B,0
Q,20120803153000697,616.540000,616.630000,1,1,J,Y,0
Q,20120803153000697,616.540000,616.600000,1,1,J,B,0
Q,20120803153000697,616.540000,616.600000,1,1,J,Y,0
